Release Name,Release Date,Release Time,App Version
argo-cd-7.8.14,2025-03-25,00:08:57,v2.14.8
argo-rollouts-2.39.3,2025-03-23,12:51:36,v1.8.2
argo-rollouts-2.39.2,2025-03-21,07:13:50,v1.8.1
argo-cd-7.8.13,2025-03-19,18:35:57,v2.14.7
argo-cd-7.8.12,2025-03-18,16:35:25,v2.14.6
argo-cd-7.8.11,2025-03-15,08:35:05,v2.14.5
argo-rollouts-2.39.1,2025-03-13,14:56:21,v1.8.0
argo-events-2.4.14,2025-03-13,14:59:31,v1.9.5
argo-workflows-0.45.11,2025-03-11,11:52:08,v3.6.5
argo-cd-7.8.10,2025-03-11,07:25:23,v2.14.5
argo-cd-7.8.9,2025-03-08,06:30:05,v2.14.4
argo-workflows-0.45.10,2025-03-06,12:00:38,v3.6.4
argo-cd-7.8.8,2025-03-05,00:15:58,v2.14.4
argo-workflows-0.45.9,2025-03-03,06:08:58,v3.6.4
argo-cd-7.8.7,2025-03-01,03:07:42,v2.14.3
argo-cd-7.8.6,2025-02-28,21:33:58,v2.14.3
argo-workflows-0.45.8,2025-02-24,09:32:08,v3.6.4
argo-cd-7.8.5,2025-02-23,21:45:52,v2.14.2
argo-cd-7.8.4,2025-02-21,16:03:22,v2.14.2
argo-cd-7.8.3,2025-02-20,00:42:29,v2.14.2
argo-workflows-0.45.7,2025-02-15,10:11:36,v3.6.4
argo-workflows-0.45.6,2025-02-10,14:30:33,v3.6.4
argo-workflows-0.45.5,2025-02-08,05:59:05,v3.6.3
argo-cd-7.8.2,2025-02-06,10:35:47,v2.14.2
argo-cd-7.8.1,2025-02-06,10:07:58,v2.14.2
argo-cd-7.8.0,2025-02-04,11:26:11,v2.14.1
argo-cd-7.7.23,2025-02-03,09:39:31,v2.13.4
argo-rollouts-2.39.0,2025-01-31,01:54:56,v1.8.0
argo-cd-7.7.22,2025-01-29,22:47:19,v2.13.4
argo-cd-7.7.21,2025-01-28,09:58:06,v2.13.3
argo-cd-7.7.20,2025-01-28,08:14:34,v2.13.3
argo-cd-7.7.19,2025-01-28,08:00:25,v2.13.3
argo-cd-7.7.18,2025-01-27,15:32:10,v2.13.3
argocd-image-updater-0.12.0,2025-01-25,13:31:56,v0.15.2
argo-cd-7.7.17,2025-01-24,13:04:38,v2.13.3
argo-cd-7.7.16,2025-01-14,10:17:50,v2.13.3
argo-events-2.4.13,2025-01-11,10:22:47,v1.9.5
argo-workflows-0.45.4,2025-01-10,10:23:52,v3.6.2
argo-cd-7.7.15,2025-01-10,07:18:13,v2.13.3
argo-events-2.4.12,2025-01-08,08:37:01,v1.9.4
argocd-image-updater-0.11.4,2025-01-07,07:04:30,v0.15.2
argo-cd-7.7.14,2025-01-07,12:02:49,v2.13.3
argo-events-2.4.11,2025-01-04,14:02:19,v1.9.3
argo-cd-7.7.13,2025-01-04,00:07:55,v2.13.3
argo-workflows-0.45.3,2025-01-03,15:16:16,v3.6.2
argo-rollouts-2.38.2,2025-01-03,14:07:45,v1.7.2
argo-cd-7.7.12,2025-01-02,06:18:17,v2.13.2
argo-events-2.4.10,2024-12-31,12:18:02,v1.9.3
argo-rollouts-2.38.1,2024-12-30,17:19:34,v1.7.2
argo-cd-7.7.11,2024-12-21,12:06:50,v2.13.2
argo-workflows-0.45.2,2024-12-16,21:31:29,v3.6.2
argocd-image-updater-0.11.3,2024-12-13,11:27:43,v0.15.1
argo-cd-7.7.10,2024-12-12,05:33:28,v2.13.2
argo-cd-7.7.9,2024-12-11,15:36:30,v2.13.1
argo-cd-7.7.8,2024-12-09,09:17:31,v2.13.1
argo-workflows-0.45.1,2024-12-02,17:39:46,v3.6.2
argo-cd-7.7.7,2024-12-02,14:20:02,v2.13.1
argo-cd-7.7.6,2024-11-28,00:42:14,v2.13.1
argo-events-2.4.9,2024-11-27,20:44:06,v1.9.3
argo-workflows-0.45.0,2024-11-22,15:20:08,v3.6.0
argo-workflows-0.44.1,2024-11-22,11:40:45,v3.6.0
argo-workflows-0.44.0,2024-11-21,08:59:15,v3.6.0
argo-workflows-0.43.0,2024-11-21,08:27:21,v3.6.0
argo-rollouts-2.38.0,2024-11-21,13:03:08,v1.7.2
argo-cd-7.7.5,2024-11-21,12:43:12,v2.13.1
argo-cd-7.7.4,2024-11-20,20:48:11,v2.13.1
argo-cd-7.7.3,2024-11-13,10:57:32,v2.13.0
argo-cd-7.7.2,2024-11-12,16:28:52,v2.13.0
argo-cd-7.7.1,2024-11-10,01:42:21,v2.13.0
argocd-image-updater-0.11.2,2024-11-09,03:44:12,v0.15.1
argo-rollouts-2.37.8,2024-11-07,23:17:48,v1.7.2
argo-cd-7.7.0,2024-11-05,00:00:06,v2.13.0
argo-workflows-0.42.7,2024-11-01,23:24:01,v3.5.12
argocd-image-updater-0.11.1,2024-10-30,10:40:35,v0.15.0
argo-workflows-0.42.6,2024-10-30,13:24:53,v3.5.12
argo-cd-7.6.12,2024-10-18,19:27:20,v2.12.6
argo-cd-7.6.11,2024-10-18,07:16:30,v2.12.5
argo-cd-7.6.10,2024-10-16,12:00:46,v2.12.4
argo-cd-7.6.9,2024-10-15,20:16:09,v2.12.4
argo-cd-7.6.8,2024-10-03,13:53:23,v2.12.4
argo-workflows-0.42.5,2024-10-02,00:47:02,v3.5.11
argocd-apps-2.0.2,2024-10-01,06:03:45,
argo-cd-7.6.7,2024-09-30,18:24:52,v2.12.4
argo-cd-7.6.6,2024-09-30,12:25:12,v2.12.4
argo-workflows-0.42.4,2024-09-27,09:57:14,v3.5.11
argo-cd-7.6.5,2024-09-26,07:42:42,v2.12.4
argo-cd-7.6.4,2024-09-25,22:05:12,v2.12.3
argo-cd-7.6.3,2024-09-25,15:18:12,v2.12.3
argo-cd-7.6.2,2024-09-23,17:27:28,v2.12.3
argo-workflows-0.42.3,2024-09-20,15:08:40,v3.5.11
argo-events-2.4.8,2024-09-20,00:10:14,v1.9.2
argo-cd-7.6.1,2024-09-20,11:24:11,v2.12.3
argo-cd-7.6.0,2024-09-20,07:59:20,v2.12.3
argo-rollouts-2.37.7,2024-09-16,13:38:21,v1.7.2
argo-workflows-0.42.2,2024-09-13,14:02:16,v3.5.10
argocd-apps-2.0.1,2024-09-10,21:55:59,
argo-cd-7.5.2,2024-09-02,15:33:28,v2.12.3
argo-cd-7.5.1,2024-09-02,08:59:12,v2.12.3
argo-workflows-0.42.1,2024-09-01,15:06:01,v3.5.10
argo-rollouts-2.37.6,2024-08-31,10:13:12,v1.7.2
argo-cd-7.5.0,2024-08-28,15:27:35,v2.12.3
argo-cd-7.4.7,2024-08-27,13:30:34,v2.12.3
argo-cd-7.4.6,2024-08-27,08:49:06,v2.12.2
argo-cd-7.4.5,2024-08-23,08:51:19,v2.12.2
argo-workflows-0.42.0,2024-08-20,19:07:24,v3.5.10
argo-cd-7.4.4,2024-08-16,21:36:53,v2.12.1
argo-rollouts-2.37.5,2024-08-14,08:31:31,v1.7.2
argo-rollouts-2.37.4,2024-08-12,09:08:55,v1.7.1
argo-cd-7.4.3,2024-08-12,15:29:49,v2.12.0
argo-cd-7.4.2,2024-08-08,15:02:24,v2.12.0
argo-cd-7.4.1,2024-08-06,10:14:35,v2.12.0
argo-cd-7.4.0,2024-08-05,15:22:06,v2.12.0
argo-workflows-0.41.14,2024-08-02,10:42:56,v3.5.10
argo-workflows-0.41.13,2024-08-01,07:19:01,v3.5.10
argo-workflows-0.41.12,2024-07-30,07:39:23,v3.5.9
argo-rollouts-2.37.3,2024-07-29,07:25:40,v1.7.1
argo-cd-7.3.11,2024-07-24,11:44:52,v2.11.7
argo-cd-7.3.10,2024-07-22,17:14:41,v2.11.6
argo-cd-7.3.9,2024-07-19,10:23:10,v2.11.5
argo-cd-7.3.8,2024-07-17,23:52:54,v2.11.5
argo-cd-7.3.7,2024-07-16,01:17:05,v2.11.5
argo-cd-7.3.6,2024-07-11,23:05:06,v2.11.4
argo-cd-7.3.5,2024-07-10,21:01:22,v2.11.4
argocd-image-updater-0.11.0,2024-07-09,21:31:56,v0.14.0
argo-cd-7.3.4,2024-07-02,20:43:46,v2.11.4
argo-rollouts-2.37.2,2024-07-01,10:02:31,v1.7.1
argo-cd-7.3.3,2024-06-28,21:52:33,v2.11.3
argo-rollouts-2.37.1,2024-06-26,10:39:20,v1.7.1
argo-rollouts-2.37.0,2024-06-26,09:10:19,v1.7.1
argo-events-2.4.7,2024-06-26,05:28:07,v1.9.2
argo-cd-7.3.2,2024-06-26,11:29:01,v2.11.3
argo-rollouts-2.36.2,2024-06-25,13:04:55,v1.7.0
argo-cd-7.3.1,2024-06-25,12:26:06,v2.11.3
argo-cd-7.3.0,2024-06-25,03:48:21,v2.11.3
argo-rollouts-2.36.1,2024-06-22,10:11:43,v1.7.0
argo-cd-7.2.1,2024-06-21,21:01:50,v2.11.3
argo-cd-7.2.0,2024-06-20,10:25:45,v2.11.3
argo-workflows-0.41.11,2024-06-19,07:01:05,v3.5.8
argo-cd-7.1.5,2024-06-19,14:04:21,v2.11.3
argo-workflows-0.41.10,2024-06-18,07:47:04,v3.5.8
argo-cd-7.1.4,2024-06-18,01:13:46,v2.11.3
argo-workflows-0.41.9,2024-06-17,18:59:46,v3.5.7
argocd-image-updater-0.10.2,2024-06-14,07:54:15,v0.13.1
argo-rollouts-2.36.0,2024-06-14,09:00:46,v1.7.0
argo-events-2.4.6,2024-06-14,05:09:08,v1.9.2
argo-workflows-0.41.8,2024-06-09,22:18:37,v3.5.7
argo-cd-7.1.3,2024-06-09,05:23:01,v2.11.3
argo-cd-7.1.2,2024-06-06,10:51:51,v2.11.3
argo-cd-7.1.1,2024-06-01,23:45:19,v2.11.2
argo-cd-7.1.0,2024-05-31,12:05:08,v2.11.2
argocd-image-updater-0.10.1,2024-05-28,05:32:50,v0.13.1
argo-cd-7.0.0,2024-05-28,13:38:40,v2.11.2
argo-workflows-0.41.7,2024-05-27,08:09:42,v3.5.7
argo-events-2.4.5,2024-05-24,03:05:11,v1.9.1
argo-rollouts-2.35.3,2024-05-23,07:30:12,v1.6.6
argo-cd-6.11.1,2024-05-23,15:37:21,v2.11.2
argo-cd-6.11.0,2024-05-23,12:37:05,v2.11.1
argo-cd-6.10.2,2024-05-22,11:21:15,v2.11.1
argo-cd-6.10.1,2024-05-22,07:17:23,v2.11.1
argo-cd-6.10.0,2024-05-21,16:36:49,v2.11.1
argo-workflows-0.41.6,2024-05-19,10:22:36,v3.5.6
argo-workflows-0.41.5,2024-05-19,07:34:43,v3.5.6
argo-cd-6.9.3,2024-05-17,15:18:31,v2.11.0
argocd-image-updater-0.10.0,2024-05-16,11:07:10,v0.13.0
argo-cd-6.9.2,2024-05-14,15:17:50,v2.11.0
argo-cd-6.9.1,2024-05-13,22:59:29,v2.11.0
argo-cd-6.9.0,2024-05-13,04:32:05,v2.11.0
argo-cd-6.8.1,2024-05-10,08:32:52,v2.11.0
argo-cd-6.8.0,2024-05-08,06:21:31,v2.11.0
argo-rollouts-2.35.2,2024-05-06,00:24:30,v1.6.6
argo-workflows-0.41.4,2024-05-01,13:37:43,v3.5.6
argo-cd-6.7.18,2024-04-30,17:14:22,v2.10.9
argo-workflows-0.41.3,2024-04-29,20:30:08,v3.5.6
argo-cd-6.7.17,2024-04-26,19:36:10,v2.10.8
argo-cd-6.7.16,2024-04-26,14:21:35,v2.10.8
argo-cd-6.7.15,2024-04-24,07:08:13,v2.10.7
argo-cd-6.7.14,2024-04-21,20:54:29,v2.10.7
argo-workflows-0.41.2,2024-04-20,04:55:21,v3.5.6
argo-cd-6.7.13,2024-04-19,14:07:44,v2.10.7
argocd-image-updater-0.9.7,2024-04-18,21:41:42,v0.12.2
argo-cd-6.7.12,2024-04-15,10:43:13,v2.10.7
argo-cd-6.7.11,2024-04-10,20:06:04,v2.10.6
argo-cd-6.7.10,2024-04-05,05:00:08,v2.10.6
argo-cd-6.7.9,2024-04-04,18:47:39,v2.10.5
argo-workflows-0.41.1,2024-04-02,17:26:26,v3.5.5
argo-cd-6.7.8,2024-04-02,13:36:54,v2.10.5
argo-cd-6.7.7,2024-04-02,05:03:54,v2.10.5
argo-cd-6.7.6,2024-03-29,16:13:47,v2.10.5
argo-cd-6.7.5,2024-03-29,08:13:55,v2.10.5
argo-cd-6.7.4,2024-03-28,17:30:11,v2.10.5
argo-rollouts-2.35.1,2024-03-26,08:36:07,v1.6.6
argo-workflows-0.41.0,2024-03-24,20:27:11,v3.5.5
argocd-apps-2.0.0,2024-03-23,15:39:16,
argo-rollouts-2.35.0,2024-03-23,20:47:25,v1.6.6
argo-events-2.4.4,2024-03-23,11:07:16,v1.9.1
argo-rollouts-2.34.4,2024-03-22,16:10:10,v1.6.6
argocd-image-updater-0.9.6,2024-03-20,23:53:18,v0.12.2
argo-cd-6.7.3,2024-03-18,09:36:58,v2.10.4
argo-cd-6.7.2,2024-03-13,20:46:14,v2.10.3
argo-cd-6.7.1,2024-03-11,23:08:40,v2.10.2
argo-cd-6.7.0,2024-03-11,18:26:24,v2.10.2
argo-workflows-0.40.14,2024-03-03,19:13:02,v3.5.5
argo-cd-6.6.0,2024-03-02,11:20:32,v2.10.2
argocd-image-updater-0.9.5,2024-03-01,08:41:39,v0.12.2
argo-workflows-0.40.13,2024-03-01,17:17:28,v3.5.5
argo-workflows-0.40.12,2024-03-01,00:03:01,v3.5.5
argo-cd-6.5.1,2024-03-01,22:33:17,v2.10.2
argo-cd-6.5.0,2024-02-29,19:46:25,v2.10.1
argo-cd-6.4.1,2024-02-28,06:28:55,v2.10.1
argocd-apps-1.6.2,2024-02-25,13:11:58,
argo-cd-6.4.0,2024-02-25,12:47:16,v2.10.1
argo-cd-6.3.1,2024-02-23,18:05:37,v2.10.1
argo-cd-6.3.0,2024-02-23,14:18:18,v2.10.1
argo-cd-6.2.5,2024-02-23,13:58:38,v2.10.1
argo-cd-6.2.4,2024-02-23,12:16:07,v2.10.1
argo-cd-6.2.3,2024-02-20,12:05:21,v2.10.1
argo-cd-6.2.2,2024-02-20,11:41:51,v2.10.1
argo-cd-6.2.1,2024-02-19,08:37:59,v2.10.1
argocd-image-updater-0.9.4,2024-02-18,18:44:43,v0.12.2
argo-cd-6.2.0,2024-02-18,22:06:45,v2.10.1
argo-workflows-0.40.11,2024-02-17,09:14:52,v3.5.4
argo-cd-6.1.0,2024-02-16,14:45:12,v2.10.1
argo-rollouts-2.34.3,2024-02-14,08:50:21,v1.6.6
argo-events-2.4.3,2024-02-14,08:53:00,v1.9.1
argo-cd-6.0.14,2024-02-14,21:04:43,v2.10.1
argo-cd-6.0.13,2024-02-14,10:52:49,v2.10.0
argo-cd-6.0.9,2024-02-13,11:14:02,v2.10.0
argo-cd-6.0.8,2024-02-13,08:23:55,v2.10.0
argo-cd-6.0.12,2024-02-13,15:26:57,v2.10.0
argo-cd-6.0.11,2024-02-13,11:42:46,v2.10.0
argo-cd-6.0.10,2024-02-13,11:27:29,v2.10.0
argo-cd-6.0.7,2024-02-12,18:36:55,v2.10.0
argo-cd-6.0.6,2024-02-11,14:52:39,v2.10.0
argo-cd-6.0.5,2024-02-09,12:14:21,v2.10.0
argo-cd-6.0.4,2024-02-09,11:46:10,v2.10.0
argo-cd-6.0.3,2024-02-08,17:47:08,v2.10.0
argo-cd-6.0.2,2024-02-08,14:26:38,v2.10.0
argo-cd-6.0.1,2024-02-08,10:59:10,v2.10.0
argo-cd-6.0.0,2024-02-07,21:40:22,v2.10.0
argo-cd-5.55.0,2024-02-07,07:10:30,v2.10.0
argo-cd-5.54.0,2024-02-06,13:11:44,v2.9.6
argo-cd-5.53.14,2024-02-05,06:25:59,v2.9.6
argo-workflows-0.40.10,2024-02-03,00:45:13,v3.5.4
argocd-apps-1.6.1,2024-02-02,09:37:44,
argo-cd-5.53.13,2024-02-02,22:50:34,v2.9.6
argocd-apps-1.6.0,2024-01-30,00:34:21,
argo-cd-5.53.12,2024-01-30,16:58:22,v2.9.5
argo-cd-5.53.11,2024-01-30,10:46:50,v2.9.5
argo-cd-5.53.10,2024-01-29,13:58:51,v2.9.5
argo-workflows-0.40.9,2024-01-26,21:35:38,v3.5.4
argo-rollouts-2.34.2,2024-01-26,06:31:27,v1.6.5
argo-cd-5.53.9,2024-01-26,07:36:02,v2.9.5
argocd-apps-1.5.0,2024-01-25,07:07:46,
argo-workflows-0.40.8,2024-01-24,23:58:13,v3.5.4
argo-cd-5.53.8,2024-01-23,01:07:46,v2.9.5
argo-cd-5.53.7,2024-01-22,23:55:07,v2.9.5
argo-cd-5.53.6,2024-01-22,13:09:31,v2.9.5
argo-cd-5.53.5,2024-01-22,10:14:54,v2.9.5
argo-cd-5.53.4,2024-01-21,13:36:02,v2.9.5
argo-cd-5.53.3,2024-01-20,12:21:38,v2.9.5
argo-cd-5.53.2,2024-01-19,20:20:14,v2.9.5
argo-cd-5.53.1,2024-01-19,05:48:47,v2.9.4
argocd-image-updater-0.9.3,2024-01-18,06:21:59,v0.12.2
argo-cd-5.53.0,2024-01-18,13:56:51,v2.9.3
argo-workflows-0.40.7,2024-01-17,07:56:36,v3.5.4
argo-cd-5.52.2,2024-01-15,09:13:02,v2.9.3
argo-workflows-0.40.6,2024-01-14,08:11:19,v3.5.4
argo-workflows-0.40.5,2024-01-11,07:20:47,v3.5.3
argo-events-2.4.2,2024-01-09,10:14:30,v1.9.0
argo-rollouts-2.34.1,2024-01-07,04:31:05,v1.6.4
argo-workflows-0.40.4,2024-01-06,04:17:52,v3.5.2
argocd-image-updater-0.9.2,2024-01-05,15:29:00,v0.12.2
argo-cd-5.52.1,2024-01-05,12:57:15,v2.9.3
argo-cd-5.52.0,2023-12-30,17:02:29,v2.9.3
argo-workflows-0.40.3,2023-12-24,06:14:14,v3.5.2
argo-workflows-0.40.2,2023-12-24,00:29:03,v3.5.2
argo-rollouts-2.34.0,2023-12-22,12:07:26,v1.6.4
argo-workflows-0.40.1,2023-12-15,07:45:38,v3.5.2
argo-workflows-0.40.0,2023-12-14,07:56:49,v3.5.2
argo-rollouts-2.33.0,2023-12-14,08:39:41,v1.6.4
argo-rollouts-2.32.8,2023-12-13,06:59:39,v1.6.4
argo-workflows-0.39.9,2023-12-12,06:27:57,v3.5.2
argo-workflows-0.39.8,2023-12-08,22:45:23,v3.5.2
argo-rollouts-2.32.7,2023-12-08,15:06:58,v1.6.3
argo-workflows-0.39.7,2023-12-07,07:23:32,v3.5.2
argo-rollouts-2.32.6,2023-12-07,17:50:17,v1.6.2
argo-workflows-0.39.6,2023-12-05,05:55:41,v3.5.2
argo-cd-5.51.6,2023-12-02,11:03:49,v2.9.3
argo-rollouts-2.32.5,2023-11-29,13:34:59,v1.6.2
argo-cd-5.51.5,2023-11-29,18:40:17,v2.9.2
argo-workflows-0.39.5,2023-11-27,21:13:09,v3.5.2
argo-workflows-0.39.4,2023-11-27,17:45:21,v3.5.1
argo-cd-5.51.4,2023-11-20,18:50:04,v2.9.2
argo-cd-5.51.3,2023-11-19,22:19:14,v2.9.1
argo-workflows-0.39.3,2023-11-16,12:32:11,v3.5.1
argo-workflows-0.39.2,2023-11-15,13:33:12,v3.5.1
argo-workflows-0.39.1,2023-11-15,13:17:27,v3.5.1
argo-rollouts-2.32.4,2023-11-15,13:09:53,v1.6.2
argo-rollouts-2.32.3,2023-11-15,10:00:45,v1.6.1
argo-cd-5.51.2,2023-11-15,05:59:33,v2.9.1
argo-cd-5.51.1,2023-11-10,12:41:27,v2.9.0
argo-workflows-0.39.0,2023-11-08,16:05:21,v3.5.1
argo-cd-5.51.0,2023-11-06,12:54:52,v2.9.0
argo-workflows-0.38.0,2023-11-04,05:58:06,v3.5.1
argo-workflows-0.37.1,2023-11-03,20:39:25,v3.5.0
argo-cd-5.50.1,2023-11-02,09:44:09,v2.8.6
argo-cd-5.50.0,2023-10-31,18:12:30,v2.8.6
argo-rollouts-2.32.2,2023-10-30,17:43:02,v1.6.0
argo-cd-5.49.0,2023-10-30,14:42:51,v2.8.5
argo-cd-5.48.1,2023-10-30,08:52:14,v2.8.5
argo-cd-5.48.0,2023-10-28,07:29:05,v2.8.5
argo-cd-5.47.0,2023-10-27,09:44:15,v2.8.4
argo-workflows-0.37.0,2023-10-24,12:35:14,v3.5.0
argo-workflows-0.36.2,2023-10-24,10:06:53,v3.5.0
argo-rollouts-2.32.1,2023-10-24,12:40:04,v1.6.0
argo-workflows-0.36.1,2023-10-17,23:53:35,v3.5.0
argo-workflows-0.36.0,2023-10-17,15:41:00,v3.5.0
argo-workflows-0.35.0,2023-10-13,22:07:38,v3.5.0
argo-workflows-0.34.0,2023-10-12,14:15:08,v3.4.11
argo-cd-5.46.8,2023-10-12,09:51:17,v2.8.4
argo-cd-5.46.7,2023-09-22,15:50:57,v2.8.4
argo-cd-5.46.6,2023-09-19,09:02:08,v2.8.4
argo-cd-5.46.5,2023-09-18,13:26:16,v2.8.4
argo-cd-5.46.4,2023-09-15,10:48:20,v2.8.4
argo-cd-5.46.3,2023-09-14,04:56:22,v2.8.4
argo-cd-5.46.2,2023-09-11,23:33:17,v2.8.3
argo-cd-5.46.1,2023-09-11,13:24:46,v2.8.3
argo-workflows-0.33.3,2023-09-10,01:57:47,v3.4.11
argo-cd-5.46.0,2023-09-09,08:59:25,v2.8.3
argo-workflows-0.33.2,2023-09-08,04:20:30,v3.4.11
argo-cd-5.45.5,2023-09-08,14:58:30,v2.8.3
argo-cd-5.45.4,2023-09-08,14:02:48,v2.8.3
argo-cd-5.45.3,2023-09-08,00:13:52,v2.8.3
argo-rollouts-2.32.0,2023-09-07,12:23:50,v1.6.0
argo-cd-5.45.2,2023-09-07,14:01:34,v2.8.2
argo-events-2.4.1,2023-09-04,01:15:35,v1.8.1
argo-cd-5.45.1,2023-09-04,11:01:56,v2.8.2
argo-cd-5.45.0,2023-08-28,08:12:52,v2.8.2
argo-cd-5.44.0,2023-08-27,19:07:41,v2.8.2
argo-cd-5.43.8,2023-08-27,02:21:03,v2.8.2
argo-cd-5.43.7,2023-08-25,10:52:23,v2.8.2
argo-cd-5.43.6,2023-08-25,08:46:11,v2.8.2
argo-cd-5.43.5,2023-08-23,03:57:35,v2.8.1
argo-workflows-0.33.1,2023-08-19,06:00:08,v3.4.10
argo-workflows-0.33.0,2023-08-17,12:08:23,v3.4.10
argo-workflows-0.32.3,2023-08-16,11:00:55,v3.4.10
argo-rollouts-2.31.6,2023-08-16,07:02:05,v1.5.1
argo-cd-5.43.4,2023-08-15,08:58:54,v2.8.0
