Repository,Release Tag,Release Date,Release Time
argo-cd,v3.0.0-rc3,2025-03-24,21:36:25
argo-cd,v2.14.8,2025-03-24,21:36:01
argo-cd,v2.13.6,2025-03-24,21:35:38
argo-cd,v2.12.11,2025-03-24,21:36:05
argo-cd,v3.0.0-rc2,2025-03-19,17:57:41
argo-cd,v2.14.7,2025-03-19,17:49:46
argo-cd,v2.14.6,2025-03-18,14:17:14
argo-cd,v3.0.0-rc1,2025-03-17,20:38:40
argo-cd,v2.14.5,2025-03-11,03:57:34
argo-cd,v2.14.4,2025-03-04,21:39:08
argo-cd,v2.14.3,2025-02-28,19:39:18
argo-cd,v2.14.2,2025-02-06,00:23:26
argo-cd,v2.13.5,2025-02-05,22:13:35
argo-cd,v2.14.1,2025-02-03,22:02:42
argo-cd,v2.14.0,2025-02-03,20:22:37
argo-cd,v2.14.0-rc7,2025-01-29,21:36:23
argo-cd,v2.13.4,2025-01-29,21:30:00
argo-cd,v2.12.10,2025-01-29,21:29:19
argo-cd,v2.11.13,2025-01-29,21:29:02
argo-cd,v2.14.0-rc6,2025-01-21,21:40:31
argo-cd,v2.14.0-rc5,2025-01-08,20:16:38
argo-cd,v2.13.3,2025-01-03,19:23:42
argo-cd,v2.12.9,2025-01-03,19:21:15
argo-cd,v2.14.0-rc4,2025-01-02,22:36:35
argo-cd,v2.14.0-rc3,2024-12-18,19:22:51
argo-cd,v2.14.0-rc2,2024-12-17,18:43:53
argo-cd,v2.13.2,2024-12-11,19:18:46
argo-cd,v2.12.8,2024-12-11,19:17:57
argo-cd,v2.13.1,2024-11-20,17:11:22
argo-cd,v2.12.7,2024-11-05,16:08:15
argo-cd,v2.11.12,2024-11-05,16:09:52
argo-cd,v2.13.0,2024-11-04,12:46:49
argo-cd,v2.13.0-rc5,2024-10-18,21:56:52
argo-cd,v2.12.6,2024-10-18,19:07:18
argo-cd,v2.11.11,2024-10-18,19:10:03
argo-cd,v2.13.0-rc4,2024-10-17,22:20:25
argo-cd,v2.12.5,2024-10-17,22:03:45
argo-cd,v2.11.10,2024-10-17,22:04:22
argo-cd,v2.10.18,2024-10-17,22:02:48
argo-cd,v2.13.0-rc3,2024-10-07,14:11:10
argo-cd,v2.12.4,2024-09-26,07:14:39
argo-cd,v2.11.9,2024-09-26,07:39:46
argo-cd,v2.10.17,2024-09-26,07:39:53
argo-cd,v2.13.0-rc2,2024-09-20,12:16:17
argo-cd,v2.13.0-rc1,2024-09-16,09:07:32
argo-cd,v2.11.8,2024-09-11,07:18:22
argo-cd,v2.12.3,2024-08-27,12:33:34
argo-cd,v2.12.2,2024-08-23,04:05:09
argo-cd,v2.9.22,2024-08-22,18:09:07
argo-cd,v2.8.21,2024-08-22,00:15:46
argo-cd,v2.12.1,2024-08-16,17:16:36
argo-cd,v2.12.0,2024-08-05,14:02:15
argo-cd,v2.12.0-rc5,2024-08-02,00:02:42
argo-cd,v2.11.7,2024-07-24,10:27:18
argo-cd,v2.10.16,2024-07-24,10:27:30
argo-cd,v2.9.21,2024-07-24,10:27:35
argo-cd,v2.11.6,2024-07-22,15:19:04
argo-cd,v2.10.15,2024-07-22,15:28:11
argo-cd,v2.9.20,2024-07-22,15:26:01
argo-cd,v2.12.0-rc4,2024-07-15,18:31:03
argo-cd,v2.11.5,2024-07-15,18:32:15
argo-cd,v2.10.14,2024-07-15,18:43:13
argo-cd,v2.9.19,2024-07-15,19:10:33
argo-cd,v2.12.0-rc3,2024-07-02,19:11:39
argo-cd,v2.11.4,2024-07-02,19:52:42
argo-cd,v2.10.13,2024-07-02,19:16:33
argo-cd,v2.9.18,2024-07-02,20:06:18
argo-cd,v2.12.0-rc2,2024-06-24,21:07:03
argo-cd,v2.12.0-rc1,2024-06-18,13:46:04
argo-cd,v2.11.3,2024-06-06,09:43:29
argo-cd,v2.10.12,2024-06-06,09:44:03
argo-cd,v2.9.17,2024-06-06,09:47:39
argo-cd,v2.11.2,2024-05-23,14:14:51
argo-cd,v2.10.11,2024-05-23,14:20:08
argo-cd,v2.9.16,2024-05-23,14:28:35
argo-cd,v2.8.20,2024-05-23,14:22:46
argo-cd,v2.11.1,2024-05-21,15:03:58
argo-cd,v2.10.10,2024-05-21,15:04:04
argo-cd,v2.9.15,2024-05-21,15:03:15
argo-cd,v2.8.19,2024-05-21,15:02:42
argo-cd,v2.11.0,2024-05-07,16:37:25
argo-cd,v2.10.9,2024-04-30,16:55:10
argo-cd,v2.9.14,2024-04-30,17:52:42
argo-cd,v2.8.18,2024-04-30,18:11:05
argo-cd,v2.11.0-rc3,2024-04-29,20:34:30
argo-cd,v2.10.8,2024-04-26,14:04:02
argo-cd,v2.9.13,2024-04-26,13:54:31
argo-cd,v2.8.17,2024-04-26,13:32:45
argo-cd,v2.11.0-rc2,2024-04-15,20:21:25
argo-cd,v2.10.7,2024-04-15,09:21:23
argo-cd,v2.9.12,2024-04-15,09:23:39
argo-cd,v2.8.16,2024-04-15,09:24:55
argo-cd,v2.11.0-rc1,2024-04-05,12:48:47
argo-cd,v2.10.6,2024-04-05,01:04:01
argo-cd,v2.9.11,2024-04-05,00:33:21
argo-cd,v2.8.15,2024-04-05,00:08:33
argo-cd,v2.7.18,2024-04-04,23:10:16
argo-cd,v2.10.5,2024-03-28,16:29:02
argo-cd,v2.9.10,2024-03-28,17:14:04
argo-cd,v2.8.14,2024-03-28,17:14:13
argo-cd,v2.10.4,2024-03-18,08:44:51
argo-cd,v2.9.9,2024-03-18,08:44:29
argo-cd,v2.8.13,2024-03-18,08:43:03
argo-cd,v2.10.3,2024-03-13,19:53:05
argo-cd,v2.9.8,2024-03-13,19:50:14
argo-cd,v2.8.12,2024-03-13,19:49:30
argo-cd,v2.8.11,2024-03-08,15:35:57
argo-cd,v2.10.2,2024-03-01,22:03:43
argo-cd,v2.9.7,2024-03-01,23:28:36
argo-cd,v2.10.1,2024-02-14,18:12:43
argo-cd,v2.10.0,2024-02-06,15:03:51
argo-cd,v2.9.6,2024-02-02,19:51:46
argo-cd,v2.8.10,2024-02-02,19:01:36
argo-cd,v2.7.17,2024-02-02,19:00:32
argo-cd,v2.10.0-rc4,2024-01-25,21:50:37
argo-cd,v2.10.0-rc3,2024-01-19,18:33:17
argo-cd,v2.9.5,2024-01-19,18:32:02
argo-cd,v2.8.9,2024-01-19,18:47:44
argo-cd,v2.8.8,2024-01-19,15:17:36
argo-cd,v2.7.16,2024-01-19,19:38:49
argo-cd,v2.10.0-rc2,2024-01-18,21:14:40
argo-cd,v2.9.4,2024-01-18,21:24:02
argo-cd,v2.10.0-rc1,2023-12-18,21:20:13
argo-cd,v2.7.15,2023-12-06,15:59:27
argo-cd,v2.9.3,2023-12-01,23:39:19
argo-cd,v2.9.2,2023-11-20,17:52:41
argo-cd,v2.8.7,2023-11-20,17:52:04
argo-cd,v2.9.1,2023-11-14,15:55:51
argo-cd,v2.9.0,2023-11-06,05:27:12
argo-cd,v2.8.6,2023-11-01,17:29:59
argo-cd,v2.9.0-rc4,2023-10-31,22:28:01
argo-cd,v2.8.5,2023-10-31,19:30:03
argo-cd,v2.9.0-rc3,2023-10-25,19:54:22
argo-cd,v2.9.0-rc2,2023-10-03,16:24:24
argo-cd,v2.9.0-rc1,2023-09-27,01:06:19
argo-cd,v2.8.4,2023-09-13,20:08:07
argo-cd,v2.8.3,2023-09-07,18:06:07
argo-cd,v2.7.14,2023-09-07,18:05:20
argo-cd,v2.6.15,2023-09-07,18:32:42
argo-cd,v2.5.22,2023-08-25,15:21:48
argo-cd,v2.8.2,2023-08-24,21:05:33
argo-cd,v2.7.13,2023-08-24,20:58:11
argo-cd,v2.6.14,2023-08-24,22:01:58
argo-cd,v2.8.1,2023-08-22,21:19:28
argo-cd,v2.7.12,2023-08-23,15:02:27
argo-cd,v2.8.0,2023-08-07,20:03:46
argo-cd,v2.7.11,2023-08-07,20:07:16
argo-cd,v2.8.0-rc7,2023-08-03,16:20:46
argo-cd,v2.7.10,2023-07-31,22:51:19
argo-cd,v2.8.0-rc6,2023-07-28,14:47:33
argo-cd,v2.7.9,2023-07-24,18:50:30
argo-cd,v2.8.0-rc5,2023-07-19,18:28:18
argo-cd,v2.7.8,2023-07-19,15:58:13
argo-cd,v2.6.13,2023-07-19,18:32:25
argo-cd,v2.5.21,2023-07-19,16:18:16
argo-cd,v2.8.0-rc4,2023-07-19,01:04:24
argo-cd,v2.8.0-rc3,2023-07-12,21:02:10
argo-cd,v2.8.0-rc2,2023-07-05,20:16:20
argo-cd,v2.7.7,2023-07-05,20:25:54
argo-cd,v2.6.12,2023-07-05,20:26:58
argo-cd,v2.5.20,2023-07-05,20:21:44
argo-cd,v2.8.0-rc1,2023-06-27,14:35:51
argo-cd,v2.7.6,2023-06-20,21:46:46
argo-cd,v2.6.11,2023-06-20,21:40:36
argo-cd,v2.7.5,2023-06-16,15:24:00
argo-cd,v2.6.10,2023-06-16,15:30:18
argo-cd,v2.5.19,2023-06-16,15:14:25
argo-cd,v2.7.4,2023-06-05,19:40:08
argo-cd,v2.6.9,2023-06-05,20:00:21
argo-cd,v2.5.18,2023-06-05,19:37:35
argo-cd,v2.6.8,2023-05-25,16:35:40
argo-cd,v2.5.17,2023-05-25,16:37:48
argo-cd,v2.7.3,2023-05-24,16:14:02
argo-cd,v2.7.2,2023-05-12,14:41:07
argo-cd,v2.7.1,2023-05-02,17:24:44
argo-cd,v2.7.0,2023-05-02,00:51:25
argo-cd,v2.7.0-rc2,2023-04-11,16:29:33
argo-cd,v2.7.0-rc1,2023-03-27,14:42:25
argo-cd,v2.6.7,2023-03-23,15:45:09
argo-cd,v2.5.16,2023-03-23,15:34:49
argo-cd,v2.4.28,2023-03-23,15:35:38
argo-cd,v2.6.6,2023-03-16,23:07:31
argo-cd,v2.5.15,2023-03-16,23:35:35
argo-cd,v2.4.27,2023-03-16,23:05:14
argo-cd,v2.6.5,2023-03-14,14:59:49
argo-cd,v2.5.14,2023-03-14,15:03:12
argo-cd,v2.4.26,2023-03-14,15:01:43
argo-cd,v2.6.4,2023-03-07,23:29:08
argo-cd,v2.5.13,2023-03-07,23:28:04
argo-cd,v2.4.25,2023-03-07,22:29:10
argo-cd,v2.6.3,2023-02-27,15:20:04
argo-cd,v2.5.12,2023-02-27,15:21:29
argo-cd,v2.4.24,2023-02-27,15:22:21
argo-cd,v2.6.2,2023-02-16,15:43:42
argo-cd,v2.5.11,2023-02-16,15:46:31
argo-cd,v2.4.23,2023-02-16,15:41:44
argo-cd,v2.3.17,2023-02-16,16:01:23
argo-cd,v2.6.1,2023-02-08,19:39:04
argo-cd,v2.6.0,2023-02-06,22:04:33
argo-cd,v2.6.0-rc7,2023-02-02,16:04:58
argo-cd,v2.5.10,2023-02-02,15:48:00
argo-cd,v2.4.22,2023-02-02,16:06:04
argo-cd,v2.3.16,2023-02-02,16:20:13
argo-cd,v2.6.0-rc6,2023-01-28,00:07:50
argo-cd,v2.5.9,2023-01-28,00:04:28
argo-cd,v2.4.21,2023-01-28,00:07:25
argo-cd,v2.3.15,2023-01-28,01:20:18
argo-cd,v2.6.0-rc5,2023-01-25,18:35:37
argo-cd,v2.5.8,2023-01-25,17:05:03
argo-cd,v2.4.20,2023-01-25,16:19:24
argo-cd,v2.3.14,2023-01-25,17:07:36
argo-cd,v2.6.0-rc4,2023-01-18,03:00:03
argo-cd,v2.5.7,2023-01-18,03:00:02
argo-cd,v2.4.19,2023-01-18,02:59:01
argo-cd,v2.3.13,2023-01-18,04:02:17
argo-cd,v2.6.0-rc3,2023-01-13,20:36:52
argo-cd,v2.5.6,2023-01-10,20:14:18
argo-cd,v2.6.0-rc2,2023-01-05,16:02:06
argo-cd,v2.6.0-rc1,2022-12-19,17:27:17
argo-cd,v2.5.5,2022-12-16,16:53:08
argo-cd,v2.4.18,2022-12-16,16:47:09
argo-cd,v2.3.12,2022-12-16,17:40:00
argo-cd,v2.5.4,2022-12-06,20:26:51
argo-cd,v2.5.3,2022-11-28,17:28:00
argo-cd,v2.5.2,2022-11-07,17:23:44
argo-cd,v2.4.17,2022-11-07,17:05:27
argo-cd,v2.5.1,2022-11-01,21:53:59
argo-cd,v2.4.16,2022-11-01,22:03:02
argo-cd,v2.3.11,2022-11-01,22:39:18
argo-cd,v2.2.16,2022-11-01,20:44:20
argo-cd,v2.5.0,2022-10-25,15:32:28
argo-cd,v2.2.15,2022-10-18,22:08:59
argo-cd,v2.5.0-rc3,2022-10-17,18:39:09
argo-cd,v2.4.15,2022-10-17,21:17:43
argo-cd,v2.3.10,2022-10-18,01:09:30
argo-cd,v2.5.0-rc2,2022-10-11,19:55:49
argo-cd,v2.5.0-rc1,2022-10-05,18:00:34
argo-cd,v2.4.14,2022-10-05,17:53:31
argo-cd,v2.3.9,2022-10-05,18:24:18
argo-cd,v2.2.14,2022-10-05,17:17:02
argo-cd,v2.4.13,2022-10-03,21:38:39
argo-cd,v2.3.8,2022-10-03,22:36:32
argo-cd,v2.2.13,2022-10-03,21:05:16
argo-cd,v2.4.12,2022-09-16,01:33:23
argo-cd,v2.4.11,2022-08-22,09:52:10
argo-cd,v2.4.10,2022-08-17,21:44:09
argo-cd,v2.4.9,2022-08-11,15:59:47
argo-cd,v2.4.8,2022-07-29,17:38:38
argo-cd,v2.3.7,2022-07-29,16:11:01
argo-cd,v2.2.12,2022-07-29,14:58:00
argo-cd,v2.4.7,2022-07-18,21:54:21
argo-cd,v2.4.6,2022-07-12,23:14:34
argo-cd,v2.4.5,2022-07-12,17:05:35
argo-cd,v2.3.6,2022-07-12,17:56:53
argo-cd,v2.2.11,2022-07-12,16:23:51
argo-cd,v2.4.4,2022-07-07,07:59:34
argo-cd,v2.4.3,2022-06-27,21:39:15
argo-cd,v2.4.2,2022-06-21,21:19:40
argo-cd,v2.4.1,2022-06-21,17:18:01
argo-cd,v2.3.5,2022-06-21,18:28:28
argo-cd,v2.2.10,2022-06-21,16:42:53
argo-cd,v2.1.16,2022-06-21,16:34:29
argo-cd,v2.4.0,2022-06-10,17:59:33
argo-cd,v2.4.0-rc5,2022-06-06,19:57:45
argo-cd,v2.4.0-rc4,2022-06-01,23:51:49
argo-cd,v2.4.0-rc3,2022-05-31,20:14:43
argo-cd,v2.4.0-rc2,2022-05-18,13:20:52
argo-cd,v2.3.4,2022-05-18,13:14:17
argo-cd,v2.2.9,2022-05-18,12:11:30
argo-cd,v2.1.15,2022-05-18,12:48:12
argo-cd,v2.4.0-rc1,2022-05-06,23:59:23
argo-cd,v2.3.3,2022-03-30,01:55:37
argo-cd,v2.3.2,2022-03-23,02:12:12
argo-cd,v2.2.8,2022-03-23,00:38:55
argo-cd,v2.1.14,2022-03-23,00:25:37
argo-cd,v2.3.1,2022-03-11,00:07:41
argo-cd,v2.2.7,2022-03-09,01:16:04
argo-cd,v2.1.12,2022-03-09,01:06:39
argo-cd,v2.3.0,2022-03-06,07:59:28
argo-cd,v2.2.6,2022-03-06,06:08:26
argo-cd,v2.1.11,2022-03-06,05:44:19
argo-cd,v2.2.5,2022-02-05,01:42:13
argo-cd,v2.1.10,2022-02-05,01:27:00
argo-cd,v2.3.0-rc5,2022-02-05,00:52:33
argo-cd,v2.3.0-rc4,2022-02-03,23:22:13
argo-cd,v2.2.4,2022-02-03,20:50:43
argo-cd,v2.1.9,2022-02-03,20:38:47
argo-cd,v2.3.0-rc2,2022-02-02,23:59:42
argo-cd,v2.3.0-rc1,2022-01-30,23:19:12
argo-cd,v2.2.3,2022-01-18,18:03:37
argo-cd,v2.2.2,2022-01-01,06:38:42
argo-cd,v2.2.1,2021-12-17,01:41:25
argo-cd,v2.2.0,2021-12-14,18:19:23
argo-cd,v2.1.8,2021-12-13,23:26:15
argo-cd,v2.1.7,2021-11-17,22:18:58
argo-cd,v2.2.0-rc1,2021-11-12,16:44:39
argo-cd,v2.1.6,2021-10-28,20:08:23
argo-cd,v2.1.5,2021-10-20,15:25:12
argo-cd,v2.1.4,2021-10-20,00:47:38
argo-cd,v2.1.3,2021-09-29,21:59:28
argo-cd,v2.1.2,2021-09-02,18:13:57
argo-cd,v2.1.1,2021-08-25,15:20:05
argo-cd,v2.1.0,2021-08-20,05:40:42
argo-cd,v2.1.0-rc3,2021-08-11,19:54:48
argo-cd,v2.1.0-rc2,2021-08-03,17:17:22
argo-cd,v2.1.0-rc1,2021-07-28,22:39:33
argo-cd,v2.0.5,2021-07-22,21:00:58
argo-cd,v2.0.4,2021-06-23,01:36:22
argo-cd,v2.0.3,2021-05-27,17:47:33
argo-cd,v2.0.2,2021-05-20,19:38:10
argo-cd,v2.0.1,2021-04-15,22:40:37
argo-cd,v2.0.0,2021-04-07,06:07:51
argo-cd,v2.0.0-rc4,2021-04-05,23:22:38
argo-cd,v2.0.0-rc3,2021-04-02,17:59:51
argo-cd,v2.0.0-rc2,2021-03-29,21:39:06
argo-cd,v2.0.0-rc1,2021-03-19,21:37:41
argo-cd,v1.8.7,2021-03-03,07:20:14
argo-cd,v1.7.14,2021-03-03,18:45:51
argo-cd,v1.8.6,2021-02-26,21:29:08
argo-cd,v1.7.13,2021-02-26,17:29:32
argo-cd,v1.8.5,2021-02-20,05:47:09
argo-cd,v1.8.4,2021-02-05,18:02:18
argo-cd,v1.7.12,2021-02-05,20:29:49
argo-cd,v1.8.3,2021-01-21,22:26:34
argo-cd,v1.8.2,2021-01-10,05:47:08
argo-cd,v1.8.1,2020-12-10,03:05:37
argo-cd,v1.7.11,2020-12-10,02:47:15
argo-cd,v1.8.0,2020-12-09,18:35:24
argo-cd,v1.8.0-rc2,2020-12-03,05:15:48
argo-cd,v1.8.0-rc1,2020-11-25,18:21:18
argo-cd,v1.7.10,2020-11-20,19:57:30
argo-cd,v1.7.9,2020-11-17,23:26:31
argo-cd,v1.7.8,2020-10-15,22:39:54
argo-cd,v1.7.7,2020-09-29,05:02:51
argo-cd,v1.7.6,2020-09-19,00:58:10
argo-cd,v1.7.5,2020-09-15,23:10:12
argo-cd,v1.7.4,2020-09-05,02:51:36
argo-cd,v1.7.3,2020-09-01,23:25:39
argo-cd,v1.7.2,2020-08-27,23:40:37
argo-cd,v1.7.1,2020-08-26,21:17:44
argo-cd,v1.7.0,2020-08-25,19:05:00
argo-cd,v1.7.0-rc1,2020-08-15,19:37:04
argo-cd,v1.6.2,2020-07-31,23:51:10
argo-cd,v1.6.1,2020-06-19,00:47:03
argo-cd,v1.6.0,2020-06-16,22:46:48
argo-cd,v1.5.8,2020-06-16,20:05:59
argo-cd,v1.6.0-rc2,2020-06-09,22:29:03
argo-cd,v1.5.7,2020-06-09,18:46:23
argo-cd,v1.6.0-rc1,2020-06-03,04:11:50
argo-cd,v1.5.6,2020-06-02,19:13:17
argo-cd,v1.5.5,2020-05-16,15:22:14
argo-cd,v1.5.4,2020-05-05,19:25:30
argo-cd,v1.5.3,2020-05-02,04:58:47
argo-cd,v1.5.2,2020-04-15,19:05:41
argo-cd,v1.4.3,2020-04-15,19:09:30
argo-cd,v1.5.1,2020-04-06,16:35:44
argo-cd,v1.5.0,2020-04-02,18:49:53
argo-cd,v1.5.0-rc3,2020-03-30,22:42:52
argo-cd,v1.5.0-rc2,2020-03-26,06:12:25
argo-cd,v1.5.0-rc1,2020-03-20,23:02:28
argo-cd,v1.4.2,2020-01-24,01:18:02
argo-cd,v1.4.1,2020-01-22,23:10:57
argo-cd,v1.4.0,2020-01-18,06:12:51
argo-cd,v1.4.0-rc1,2020-01-13,20:48:09
argo-cd,v1.3.6,2019-12-10,22:54:07
argo-cd,v1.3.5,2019-12-09,21:25:22
argo-cd,v1.3.4,2019-12-05,23:31:46
argo-cd,v1.3.3,2019-12-05,22:55:32
argo-cd,v1.3.2,2019-12-03,21:40:15
argo-cd,v1.3.1,2019-12-02,22:35:57
argo-cd,v1.3.0,2019-11-13,02:17:35
argo-cd,v1.3.0-rc5,2019-11-11,21:34:47
argo-cd,v1.3.0-rc4,2019-11-04,06:53:16
argo-cd,v1.3.0-rc3,2019-10-29,20:19:18
argo-cd,v1.2.5,2019-10-29,00:14:59
argo-cd,v1.3.0-rc2,2019-10-23,01:36:08
argo-cd,v1.2.4,2019-10-23,20:11:59
argo-cd,v1.3.0-rc1,2019-10-16,21:46:33
argo-cd,v1.2.3,2019-10-01,21:10:16
argo-cd,v1.2.2,2019-09-24,19:34:55
argo-cd,v1.2.1,2019-09-12,17:31:17
argo-cd,v1.2.0,2019-09-04,21:39:00
argo-cd,v1.2.0-rc2,2019-08-21,16:04:14
argo-cd,v1.2.0-rc1,2019-08-06,20:26:20
argo-cd,v1.1.2,2019-07-30,18:02:46
argo-cd,v1.1.1,2019-07-24,17:44:23
argo-cd,v1.1.0,2019-07-24,17:22:37
argo-cd,v1.1.0-rc8,2019-07-19,22:33:59
argo-cd,v1.1.0-rc7,2019-07-17,23:30:42
argo-cd,v1.1.0-rc6,2019-07-16,16:43:32
argo-cd,v1.1.0-rc5,2019-07-09,21:43:03
argo-cd,v1.1.0-rc4,2019-07-03,21:23:36
argo-cd,v1.1.0-rc3,2019-06-28,21:09:41
argo-cd,v1.1.0-rc2,2019-06-21,23:41:40
argo-cd,v1.1.0-rc1,2019-06-14,18:42:47
argo-cd,v1.0.2,2019-06-14,17:23:08
argo-cd,v1.0.1,2019-05-28,17:32:09
argo-cd,v1.0.0,2019-05-16,22:13:10
argo-cd,v1.0.0-rc3,2019-05-09,17:28:45
argo-cd,v1.0.0-rc2,2019-04-30,21:30:50
argo-cd,v0.12.3,2019-04-30,06:17:03
argo-cd,v1.0.0-rc1,2019-04-24,18:21:02
argo-cd,v0.12.2,2019-04-22,21:50:44
argo-cd,v0.12.1,2019-04-09,21:28:28
argo-cd,v0.12.0,2019-03-23,01:35:42
argo-cd,v0.12.0-rc6,2019-03-20,22:50:14
argo-cd,v0.12.0-rc5,2019-03-19,08:07:36
argo-cd,v0.12.0-rc4,2019-03-12,21:55:07
argo-cd,v0.12.0-rc3,2019-03-07,02:51:44
argo-cd,v0.12.0-rc2,2019-03-06,11:20:06
argo-cd,v0.12.0-rc1,2019-03-06,03:04:20
argo-cd,v0.11.2,2019-02-19,18:00:25
argo-cd,v0.11.1,2019-01-18,21:14:24
argo-cd,v0.11.0,2019-01-11,02:13:53
argo-cd,v0.11.0-rc6,2019-01-10,00:42:34
argo-cd,v0.11.0-rc5,2019-01-09,00:13:56
argo-cd,v0.11.0-rc4,2019-01-04,21:48:23
argo-cd,v0.11.0-rc3,2019-01-03,23:58:08
argo-cd,v0.11.0-rc2,2018-12-28,01:33:08
argo-cd,v0.11.0-rc1,2018-12-10,17:50:56
argo-cd,v0.10.6,2018-11-15,03:01:53
argo-cd,v0.10.5,2018-11-14,02:40:13
argo-cd,v0.10.4,2018-11-08,02:06:57
argo-cd,v0.10.3,2018-10-29,07:03:10
argo-cd,v0.10.2,2018-10-25,20:12:36
argo-cd,v0.10.1,2018-10-24,20:28:59
argo-cd,v0.10.0,2018-10-19,22:01:34
argo-cd,v0.9.2,2018-09-28,16:59:16
argo-cd,v0.9.1,2018-09-24,21:46:35
argo-cd,v0.9.0,2018-09-24,20:41:50
argo-cd,v0.8.2,2018-09-12,08:55:44
argo-cd,v0.8.1,2018-09-11,01:34:30
argo-cd,v0.8.0,2018-09-05,01:10:25
argo-cd,v0.7.2,2018-08-21,08:22:07
argo-cd,v0.7.1,2018-08-03,20:45:14
argo-cd,v0.7.0,2018-07-28,01:30:19
argo-cd,v0.6.2,2018-07-24,10:04:03
argo-cd,v0.6.1,2018-07-18,07:44:11
argo-cd,v0.6.0,2018-07-17,09:42:25
argo-cd,v0.5.4,2018-06-27,23:25:33
argo-cd,v0.5.3,2018-06-21,00:09:10
argo-cd,v0.5.2,2018-06-14,20:19:39
argo-cd,v0.5.1,2018-06-13,21:46:40
argo-cd,v0.5.0,2018-06-12,20:39:05
argo-cd,v0.4.7,2018-06-07,18:37:20
argo-cd,v0.4.6,2018-06-06,18:12:48
argo-cd,v0.4.5,2018-05-31,10:29:26
argo-cd,v0.4.4,2018-05-30,23:40:52
argo-cd,v0.4.3,2018-05-21,22:38:11
argo-cd,v0.4.2,2018-05-21,08:25:50
argo-cd,v0.4.1,2018-05-18,20:40:11
argo-cd,v0.4.0,2018-05-17,09:55:08
argo-cd,v0.4.0-alpha1,2018-05-11,23:59:31
argo-cd,v0.3.2,2018-05-03,18:25:30
argo-cd,v0.3.1,2018-04-24,23:32:12
argo-cd,v0.3.0,2018-04-23,08:29:14
argo-cd,v0.2.0,2018-04-03,18:19:24
argo-cd,v0.1.0,2018-03-13,00:38:20
argo-workflows,v3.6.5,2025-03-11,08:59:16
argo-workflows,v3.6.4,2025-02-10,12:56:26
argo-workflows,v3.6.3,2025-02-07,15:02:18
argo-workflows,v3.5.14,2025-01-31,09:01:29
argo-workflows,v3.6.2,2024-12-02,14:12:44
argo-workflows,v3.5.13,2024-12-02,13:09:39
argo-workflows,v3.6.0,2024-11-14,19:02:01
argo-workflows,v3.6.0-rc4,2024-10-31,11:56:16
argo-workflows,v3.5.12,2024-10-30,11:49:27
argo-workflows,v3.6.0-rc3,2024-10-24,10:51:47
argo-workflows,v3.4.18,2024-12-16,09:03:37
argo-workflows,v3.6.0-rc2,2024-10-03,07:48:59
argo-workflows,v3.5.11,2024-09-20,14:08:00
argo-workflows,v3.6.0-rc1,2024-09-18,10:03:03
argo-workflows,v3.5.10,2024-08-01,06:03:16
argo-workflows,v3.5.9,2024-07-30,06:58:49
argo-workflows,v3.5.8,2024-06-18,04:52:31
argo-workflows,v3.5.7,2024-05-27,07:13:30
argo-workflows,v3.4.17,2024-05-13,02:47:39
argo-workflows,v3.5.6,2024-04-19,21:43:07
argo-workflows,v3.5.5,2024-02-29,21:47:50
argo-workflows,v3.5.4,2024-01-14,06:19:09
argo-workflows,v3.4.16,2024-01-14,06:17:57
argo-workflows,v3.4.15,2024-01-13,23:29:40
argo-workflows,v3.5.3,2024-01-11,03:12:46
argo-workflows,v3.5.2,2023-11-27,19:16:42
argo-workflows,v3.4.14,2023-11-27,18:56:22
argo-workflows,v3.5.1,2023-11-03,19:57:45
argo-workflows,v3.4.13,2023-11-03,21:07:31
argo-workflows,v3.4.12,2023-10-20,13:00:24
argo-workflows,v3.5.0,2023-10-13,15:00:44
argo-workflows,v3.5.0-rc2,2023-09-20,19:20:10
